n,Fn,time_sec
1,1,0.0000011000
2,1,0.0000021000
3,2,0.0000017000
4,3,0.0000008999
5,5,0.0000010000
6,8,0.0000012000
7,13,0.0000019000
8,21,0.0000027000
9,34,0.0000042000
10,55,0.0000067001
11,89,0.0000105000
12,144,0.0000170000
13,233,0.0000272000
14,377,0.0000439000
15,610,0.0000712000
16,987,0.0001152000
17,1597,0.0001860000
18,2584,0.0003018000
19,4181,0.0004867000
20,6765,0.0008127000
21,10946,0.0013379000
22,17711,0.0021522000
23,28657,0.0035496000
24,46368,0.0055827000
25,75025,0.0087986000
26,121393,0.0134700000
27,196418,0.0227056000
28,317811,0.0354787000
29,514229,0.0575592000
30,832040,0.0914910000
31,1346269,0.1485050000
32,2178309,0.2488369000
33,3524578,0.3969412000
34,5702887,0.6360345000
35,9227465,1.0321064000
36,14930352,1.6694584000
37,24157817,2.7138433000
38,39088169,4.4070994000
39,63245986,7.2370414000
40,102334155,12.3228478000
41,165580141,20.2627730000
42,267914296,33.9351800000
43,433494437,55.2686932000
44,701408733,88.9526479000
45,1134903170,143.1813540000
46,1836311903,244.8457903000
47,2971215073,420.2378585000
48,4807526976,672.4107422000
49,7778742049,1088.4966096000
50,12586269025,1769.8053314000
